ID	Language	File	Edit	Help	Quit	Preferences	Help	Start	Next	Name	Results	Contact	Finish	Save	Cancel	Docs	All	Instruct	Data	TextAbout		About	Language
EN	English	File	Edit	Hep	Quit	Preferences	Help	Start	Next	Name	Results saved	Contact the test's applicator	Finish	Save	Cancel	Documentation	Answer all questions	Click the button below to proceed	Data	ScalemateForms was written by Cris Silva Jr. (http://www.crisjr.eng.br) in the Laboratory of Neuroscience and Behaviour from the University of Brasília. It was released under the MIT License (https://opensource.org/licenses/MIT)		About	Language
PT-BR	Português Brasileiro	Arquivo	Editar	Ajuda	Sair	Preferências	Ajuda	Sair	Continuar	Nome	Resultados salvos com sucesso!	Contate o aplicador do teste.	Finalizar	Salvar	Cancelar	Documentação	Responda todas as perguntas.	Aperte o botão abaixo para continuar.	Dados	ScalemateForms foi escrito por Cris Silva Jr. (http://www.crisjr.eng.br) no Laboratório de Neurociência e Comportamento da Universidade de Brasília	 e foi lançado sob a licença MIT (https://opensource.org/licenses/MIT).	Sobre	Idioma
